index,smiles,FDA_APPROVED,CT_TOX,mol,isosmiles
381,c1nc2c(nc(nc2n1[C@H]3[C@H]([C@@H]([C@H](O3)COP(=O)([O-])[O-])O)O)F)N,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fc3a0>,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@@H]1O
382,c1nc2c(nc(nc2n1[C@H]3C[C@@H]([C@H](O3)CO)O)Cl)N,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fc400>,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
383,c1nc2c(=O)[nH]c(nc2n1COC(CO)CO)N,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fc460>,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1
384,C[C@@](c1ccccc1)(c2ccc(cc2)Cl)OCC[C@H]3CCC[NH+]3C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fc4c0>,C[NH+]1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1
385,C[C@@]1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)[O-])Cn3ccnn3,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fc520>,C[C@]1(Cn2ccnn2)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O
386,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)Cc4ccccc4)NC(=O)[C@@H]5C[C@@H]6c7cccc8c7c(c[nH]8)C[C@H]6[NH+](C5)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fc580>,C[NH+]1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
387,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)Cc4ccccc4)NC(=O)[C@H]5C[NH+]([C@@H]6Cc7c[nH]c8c7c(ccc8)C6=C5)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fc5e0>,C[NH+]1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
388,C[C@@H]([C@@H]([C@H]1CNc2c(c(=O)nc([nH]2)N)N1)O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fc640>,C[C@H](O)[C@H](O)[C@H]1CNc2[nH]c(N)nc(=O)c2N1
389,C[C@@H]([C@@H](c1ccc(c(c1)O)O)O)[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fc6a0>,C[C@H]([NH3+])[C@H](O)c1ccc(O)c(O)c1
390,C[C@@H]([C@@H](c1ccc(cc1)O)O)[NH2+]CCc2ccc(cc2)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fc700>,C[C@H]([NH2+]CCc1ccc(O)cc1)[C@H](O)c1ccc(O)cc1
391,C[C@@H]([C@@H](c1cccc(c1)O)O)[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fc760>,C[C@H]([NH3+])[C@H](O)c1cccc(O)c1
392,C[C@@H]([C@H](c1ccccc1)O)[NH2+]C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fc7c0>,C[NH2+][C@@H](C)[C@@H](O)c1ccccc1
393,C[C@@H]([NH2+]CC(C[NH2+][C@@H](/C(=N/O)/C)C)(C)C)/C(=N/O)/C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fc820>,C/C(=N\O)[C@@H](C)[NH2+]CC(C)(C)C[NH2+][C@H](C)/C(C)=N/O
394,C[C@@H](C(=O)N1CCC[C@H]1C(=O)[O-])[NH2+][C@@H](CCc2ccccc2)C(=O)[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fc880>,C[C@H]([NH2+][C@@H](CCc1ccccc1)C(=O)[O-])C(=O)N1CCC[C@H]1C(=O)[O-]
395,C[C@@H](C(=O)N[C@@H](C)C(=O)NC1[C@H]2[C@@H]1CN(C2)c3c(cc4c(=O)c(cn(c4n3)c5ccc(cc5F)F)C(=O)[O-])F)[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fc8e0>,C[C@H]([NH3+])C(=O)N[C@@H](C)C(=O)NC1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)[O-])cn4-c3ccc(F)cc3F)C[C@H]12
396,C[C@@H](C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1c[nH]c2c1cccc2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc3c[nH]c4c3cccc4)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc5c[nH]c6c5cccc6)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc7c[nH]c8c7cccc8)C(=O)NCCO)NC(=O)CNC(=O)[C@H](C(C)C)NC=O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fc940>,CC(C)C[C@@H](NC(=O)[C@H](C)NC(=O)CNC(=O)[C@@H](NC=O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCO)C(C)C)C(C)C)C(C)C
397,C[C@@H](C(=O)Nc1c(c(c(c(c1I)C(=O)NC(CO)CO)I)C(=O)NC(CO)CO)I)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fc9a0>,C[C@H](O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I
398,C[C@@H](c1c(cncn1)F)[C@](Cn2cncn2)(c3ccc(cc3F)F)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fca00>,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
399,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OCCCCO[N+](=O)[O-],0,1,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fca60>,COc1ccc2cc([C@H](C)C(=O)OCCCCO[N+](=O)[O-])ccc2c1
400,C[C@@H](C1=CCC23C1(C[C@H](C45C2=CC[C@H]6[C@@]4(CC[C@@](C6)(O5)O)C)O)C[NH+](CCO3)C)OC(=O)c7ccccc7,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fcac0>,C[C@H](OC(=O)c1ccccc1)C1=CCC23OCC[NH+](C)CC12C[C@@H](O)C12O[C@@]4(O)CC[C@@]1(C)[C@H](CC=C32)C4
401,C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fcb20>,COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1
402,C[C@@H](Cc1ccccc1)[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fcb80>,C[C@H]([NH3+])Cc1ccccc1
403,C[C@@H](Cc1ccccc1)NC(=O)[C@H](CCCC[NH3+])[NH3+],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fcbe0>,C[C@@H](Cc1ccccc1)NC(=O)[C@@H]([NH3+])CCCC[NH3+]
404,C[C@@H](CN1c2ccccc2Sc3c1cc(cc3)OC)C[NH+](C)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fcc40>,COc1ccc2c(c1)N(C[C@H](C)C[NH+](C)C)c1ccccc1S2
405,C[C@@H](CN1CC(=O)NC(=O)C1)[NH+]2CC(=O)NC(=O)C2,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fcca0>,C[C@@H](CN1CC(=O)NC(=O)C1)[NH+]1CC(=O)NC(=O)C1
406,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H]([NH2+]C3)C(=O)N(C)C)C(=O)[O-])[C@@H](C)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fcd00>,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(S[C@@H]3C[NH2+][C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12
407,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H]([NH2+]C3)C(=O)Nc4cccc(c4)C(=O)[O-])C(=O)[O-])[C@@H](C)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fcd60>,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(S[C@@H]3C[NH2+][C@H](C(=O)Nc4cccc(C(=O)[O-])c4)C3)[C@H](C)[C@H]12
408,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H]([NH2+]C3)CNS(=O)(=O)N)C(=O)[O-])[C@@H](C)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fcdc0>,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(S[C@@H]3C[NH2+][C@H](CNS(N)(=O)=O)C3)[C@H](C)[C@H]12
409,C[C@@H]1[C@H]([C@@H]([C@@H](C(O1)OC2CC3C(C(CC(O3)(CC(CC(CC(CC(=O)CCCC(=O)CC(=O)OC(C(C=CC=CC=CC=CC=CC=CC=C2)C)C(C)CC(C)C(CC(=O)c4ccc(cc4)N)O)O)O)O)O)O)C(=O)[O-])O)[NH3+])O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fce20>,CC1C=CC=CC=CC=CC=CC=CC=CC(OC2O[C@H](C)[C@@H](O)[C@H]([NH3+])[C@@H]2O)CC2OC(O)(CC(O)CC(O)CC(O)CC(=O)CCCC(=O)CC(=O)OC1C(C)CC(C)C(O)CC(=O)c1ccc(N)cc1)CC(O)C2C(=O)[O-]
410,C[C@@H]1[C@H]([C@@H]([C@@H](C(O1)OC\2CC(C(C(CC(=O)CC(C(CCC(CC(CC(CC(=O)OC(C(C(C(/C=C/C=C/CC/C=C/C=C/C=C/C=C2)C)O)C)C)O)O)O)O)O)O)C(=O)[O-])O)O)[NH3+])O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fce80>,CC1/C=C/C=C/CC/C=C/C=C/C=C/C=C/C(OC2O[C@H](C)[C@@H](O)[C@H]([NH3+])[C@@H]2O)CC(O)C(C(=O)[O-])C(O)CC(=O)CC(O)C(O)CCC(O)CC(O)CC(O)CC(=O)OC(C)C(C)C1O
411,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)O)O)CO)CO)O)O)[NH2+][C@H]4C=C([C@@H]([C@@H]([C@H]4O)O)O)CO,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fcee0>,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1[NH2+][C@H]1C=C(CO)[C@H](O)[C@H](O)[C@H]1O
412,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fcf40>,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
413,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5CC[C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)C)C)C)O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fcfa0>,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
414,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2CC[C@]3([C@@H](C2)CC[C@@H]4[C@@H]3C[C@H]([C@]5([C@@]4(CC[C@@H]5C6=CC(=O)OC6)O)C)O)C)O)O[C@H]7C[C@@H]([C@@H]([C@H](O7)C)O[C@H]8C[C@@H]([C@@H]([C@H](O8)C)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O)O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb040>,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@]4(C)[C@H]5C[C@@H](O)[C@]6(C)[C@@H](C7=CC(=O)OC7)CC[C@]6(O)[C@@H]5CC[C@@H]4C3)O[C@@H]2C)C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](C)O1
415,C[C@@H]1[C@H]([C@H](C[C@@H](O1)OC2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)OC4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5CC[C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)C)C)C)OC(=O)C)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb0a0>,CC(=O)O[C@H]1C[C@H](OC2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](OC4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O
416,C[C@@H]1C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@@H]3[C@H](O3)/C=C/C(=O)O1)O)O)O)C(=O)[O-])OC4[C@H]([C@H]([C@@H]([C@H](O4)C)O)[NH3+])O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb100>,C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](OC2O[C@H](C)[C@@H](O)[C@H]([NH3+])[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3O[C@@H]3/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)[O-]
417,C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb160>,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
418,C[C@@H]1C[C@@H]([C@H]([C@@H](O1)O[C@H]2[C@H](C[C@@]3(CO3)C(=O)[C@@H]([C@H]([C@H]([C@H](OC(=O)[C@@H]([C@H]([C@@H]2C)O[C@H]4C[C@@H]([C@H]([C@@H](O4)C)OC(=O)C)OC)C)C)C)OC(=O)C)C)C)OC(=O)C)[NH+](C)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb1c0>,CO[C@H]1C[C@H](O[C@@H]2[C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@H](OC(C)=O)[C@@H](C)C(=O)[C@]3(CO3)C[C@H](C)[C@H](O[C@@H]3O[C@H](C)C[C@H]([NH+](C)C)[C@H]3OC(C)=O)[C@H]2C)O[C@@H](C)[C@@H]1OC(C)=O
419,C[C@@H]1C[C@@H]2CC[C@H]3C(=C)C[C@@H](O3)CC[C@]45C[C@@H]6[C@H](O4)[C@H]7[C@@H](O6)[C@@H](O5)[C@@H]8[C@@H](O7)CC[C@@H](O8)CC(=O)C[C@H]9[C@H](C[C@H](C1=C)O2)O[C@@H]([C@@H]9OC)C[C@@H](CN)O,0,1,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb220>,C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)C[C@H]3[C@H](C[C@H]4O[C@@H](CC[C@@H]1O2)C[C@@H](C)C4=C)O[C@H](C[C@H](O)CN)[C@@H]3OC
420,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C(C)(C)C)O)C)O)F)C)F,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb280>,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)C(C)(C)C
421,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)SCF)OC(=O)c5ccco5)C)O)F)C)F,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb2e0>,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)SCF
422,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@H]1C(=O)COC(=O)C(C)(C)C)C)O)Cl)C)F,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb340>,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@H]1C(=O)COC(=O)C(C)(C)C
423,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@H]3[C@H](C[C@@]2([C@]1(C(=O)COC(=O)C)O)C)O)C)F,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb3a0>,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
424,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CCl)OC(=O)c5ccco5)C)O)Cl)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb400>,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl
425,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,1,1,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb460>,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
426,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COP(=O)([O-])[O-])O)C)O)F)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb4c0>,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)([O-])[O-]
427,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@H]1C(=O)CO)C)O)F)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb520>,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO
428,C[C@@H]1CC(=O)[C@]2([C@@H](O1)O[C@@H]3[C@H]([C@@H]([C@@H]([C@@H]([C@H]3O2)[NH2+]C)O)[NH2+]C)O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb580>,C[NH2+][C@H]1[C@@H](O)[C@@H]([NH2+]C)[C@H](O)[C@H]2O[C@@H]3O[C@H](C)CC(=O)[C@]3(O)O[C@H]12
429,C[C@@H]1CC(=O)C=C([C@]12C(=O)c3c(cc(c(c3O2)Cl)OC)OC)OC,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb5e0>,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O
430,C[C@@H]1CC[C@@]23CCC(=O)[C@H]2[C@@]1([C@@H](C[C@@]([C@H]([C@@H]3C)O)(C)C=C)OC(=O)CSC4C[C@H]5CC[C@@H](C4)[NH+]5C)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb640>,C=C[C@]1(C)C[C@@H](OC(=O)CSC2C[C@@H]3CC[C@H](C2)[NH+]3C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O
431,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb6a0>,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
432,C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)OC)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb700>,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3
433,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb760>,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
434,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,0,1,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb7c0>,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
435,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C\\[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb820>,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C\C=C\C=C\1C
436,C[C@@H]1CCC2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OC(=O)C(C)(CO)CO)C)/C)O)OC)C)C)/C)OC,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb880>,CO[C@H]1CC2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
437,C[C@@H]1CCN([C@H](C1)C(=O)[O-])C(=O)[C@H](CCC[NH+]=C(N)N)NS(=O)(=O)c2cccc3c2NC[C@@H](C3)C,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb8e0>,C[C@H]1CNc2c(cccc2S(=O)(=O)N[C@@H](CCC[NH+]=C(N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)[O-])C1
438,C[C@@H]1CN(C[C@@H]([NH2+]1)C)c2c(c(c3c(c2F)n(cc(c3=O)C(=O)[O-])C4CC4)N)F,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb940>,C[C@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)[O-])cn(C4CC4)c3c2F)C[C@@H](C)[NH2+]1
439,C[C@@H]1O[C@]2(C[NH+]3CCC2CC3)CS1,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e89fb9a0>,C[C@@H]1O[C@@]2(CS1)C[NH+]1CCC2CC1
