index,compound id (and file prefix),SMILES,iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem),experimental value (kcalmol),experimental uncertainty (kcalmol),Mobley group calculated value (GAFF) (kcalmol),calculated uncertainty (kcalmol),experimental reference (original or paper this value was taken from),calculated reference,text notes.,mol,isosmiles
159,mobley_2837389, c1cc[nH]c1, pyrrole,-4.78,0.6,-4.01,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d22ee0>,c1cc[nH]c1
160,mobley_2844990, c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl," 1,2,3,7-tetrachlorodibenzo-p-dioxin",-3.84,1.0,-2.66,0.04, 10.1007s10822-012-9568-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d22f40>,Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2
161,mobley_2845466, c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl," 2,3,7,8-tetrachlorodibenzo-p-dioxin",-3.37,1.0,-2.54,0.04, 10.1007s10822-012-9568-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d22fa0>,Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2
162,mobley_2850833, c1ccc(c(c1)C=O)O, 2-hydroxybenzaldehyde,-4.68,0.1,-8.81,0.03, SAMPL4_Guthrie, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14040>,O=Cc1ccccc1O
163,mobley_2859600, C=Cc1ccccc1, styrene,-1.24,0.6,-1.08,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d140a0>,C=Cc1ccccc1
164,mobley_2864987, CCC[C@@H](C)O, pentan-2-ol,-4.39,0.6,-2.94,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104, Renamed mobley_2864987 from pentan-2-ol to (2R)-pentan-2-ol (the name from the 3D structure) since the former did not completely specify stereochemistry.  ,<rdkit.Chem.rdchem.Mol object at 0x2b7646d14100>,CCC[C@@H](C)O
165,mobley_2881590, CC(C)CO[N+](=O)[O-], isobutyl nitrate,-1.88,0.1,-1.83,0.03, 10.1021jp806724u, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14160>,CC(C)CO[N+](=O)[O-]
166,mobley_2913224, CC(=O)Oc1ccccc1C(=O)O, acetylsalicylic acid,-9.94,0.18,-9.4,0.04, 10.1007s10822-010-9350-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d141c0>,CC(=O)Oc1ccccc1C(=O)O
167,mobley_2923700, CCc1ccc(cc1)O, 4-ethylphenol,-6.13,0.6,-5.45,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14220>,CCc1ccc(O)cc1
168,mobley_2925352, Cc1ccc(cc1)O, p-cresol,-6.13,0.6,-5.58,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14280>,Cc1ccc(O)cc1
169,mobley_2929847, CC(C)CC(=O)O, 3-methylbutanoic acid,-6.09,0.6,-8.84,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d142e0>,CC(C)CC(=O)O
170,mobley_2958326, CCCNCCC, N-propylpropan-1-amine,-3.65,0.6,-2.23,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14340>,CCCNCCC
171,mobley_2960202, c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2," 1,2,3,4,7,8-hexachlorodibenzo-p-dioxin",-3.71,1.0,-1.88,0.04, 10.1007s10822-012-9568-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d143a0>,Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2
172,mobley_296847, c1ccncc1, pyridine,-4.69,0.6,-3.51,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14400>,c1ccncc1
173,mobley_2972345, c1ccc2c(c1)Cc3ccccc3C2," 9,10-dihydroanthracene",-3.78,0.1,-4.3,0.04, SAMPL4_Guthrie, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14460>,c1ccc2c(c1)Cc1ccccc1C2
174,mobley_2972906, c1ccsc1, thiophene,-1.4,0.2,-0.36,0.02, 10.1039P29900000291, 10.1021acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039P29900000291 -- 0.2 kcalmol.  ,<rdkit.Chem.rdchem.Mol object at 0x2b7646d144c0>,c1ccsc1
175,mobley_299266, CC(=C)C, 2-methylprop-1-ene,1.16,0.6,2.33,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14520>,C=C(C)C
176,mobley_2996632, C(Cl)(Cl)Cl, chloroform,-1.08,0.6,0.28,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14580>,ClC(Cl)Cl
177,mobley_3006808, C(C(F)(F)F)O," 2,2,2-trifluoroethanol",-4.31,0.6,-3.81,0.02, 10.1039F19736901577, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d145e0>,OCC(F)(F)F
178,mobley_303222, CC=C, prop-1-ene,1.32,0.6,2.33,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14640>,C=CC
179,mobley_3034976, CC(=O)O, acetic acid,-6.69,0.6,-7.28,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d146a0>,CC(=O)O
180,mobley_3040612, CCc1ccccc1C, 1-ethyl-2-methylbenzene,-0.85,0.1,-0.76,0.03, SAMPL4_Guthrie, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14700>,CCc1ccccc1C
181,mobley_3047364, CCNc1nc(nc(n1)SC)NC(C)C," 2-N-ethyl-6-(methylsulfanyl)-4-N-(propan-2-yl)-1,3,5-triazine-2,4-diamine",-7.65,0.45,-10.55,0.04, 10.1021jp806724u, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from ametryn to 2-N-ethyl-6-(methylsulfanyl)-4-N-(propan-2-yl)-1,3,5-triazine-2,4-diamine for better handlingstandardization.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14760>,CCNc1nc(NC(C)C)nc(SC)n1
182,mobley_3053621, c1ccccc1, benzene,-0.9,0.2,-0.81,0.02, 10.1039P29900000291, 10.1021acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039P29900000291 -- 0.2 kcalmol.  ,<rdkit.Chem.rdchem.Mol object at 0x2b7646d147c0>,c1ccccc1
183,mobley_3060426, CC(C)CCC(C)(C)C," 2,2,5-trimethylhexane",2.93,0.6,2.97,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14820>,CC(C)CCC(C)(C)C
184,mobley_3083321, COCOC, dimethoxymethane,-2.93,0.2,-3.22,0.04, 10.1021jm070549+, 10.1021acs.jced.7b00104," Topology and coordinate files re-generated 10913 from original .mol2 files.  Experimental uncertainty not presently available, so assigned a default value.  Experimental uncertainty estimate updated to 0.2 as of v0.2 to match uncertainty estimate given in Nicholls et al. paper.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14880>,COCOC
185,mobley_3105103, Cc1c(c(=O)n(c(=O)[nH]1)C(C)(C)C)Cl, terbacil,-11.14,1.93,-13.77,0.04, 10.1021jp806724u, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d148e0>,Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl
186,mobley_313406, CCCO, propan-1-ol,-4.85,0.6,-3.33,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14940>,CCCO
187,mobley_3144334, Cc1ccc(c(c1)O)C," 2,5-dimethylphenol",-5.91,0.6,-5.01,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d149a0>,Cc1ccc(C)c(O)c1
188,mobley_3151666, CCCCCCCCCCO, decan-1-ol,-3.64,0.6,-2.45,0.04, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14a00>,CCCCCCCCCCO
189,mobley_3167746, CCCCCCCC, octane,2.88,0.6,3.09,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14a60>,CCCCCCCC
190,mobley_3169935, c1ccc(c(c1)N)Cl, 2-chloroaniline,-4.91,0.6,-4.85,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14ac0>,Nc1ccccc1Cl
191,mobley_3183805, Cc1ccc(c(c1)C)C," 1,2,4-trimethylbenzene",-0.86,0.6,-0.8,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14b20>,Cc1ccc(C)c(C)c1
192,mobley_3187514, Cc1ccccc1N, 2-methylaniline,-5.53,0.6,-5.33,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14b80>,Cc1ccccc1N
193,mobley_3201701, Cc1c(nc(nc1OC(=O)N(C)C)N(C)C)C, pirimor,-9.41,1.93,-13.87,0.04, 10.1021jp806724u, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from pirimor to 2-(dimethylamino)-5,6-dimethylpyrimidin-4-yl N,N-dimethylcarbamate for better handlingstandardization.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476ce460>,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C
194,mobley_3210206, C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-]," 1,2-dinitroxypropane",-4.95,0.1,-5.65,0.04, 10.1021jp806724u, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476aa9a0>,C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-]
195,mobley_3211679, C1CCC=CC1, cyclohexene,0.14,0.1,1.18,0.02, SAMPL4_Guthrie, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476aa940>,C1=CCCCC1
196,mobley_3234716, Cc1ccc(cc1)C, p-xylene,-0.8,0.6,-0.66,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b76476aa460>,Cc1ccc(C)cc1
197,mobley_3259411, C(C(CO)O)O, glycerol,-13.43,1.0,-10.14,0.04, 10.1007s10822-010-9350-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14be0>,OCC(O)CO
198,mobley_3264884, c1ccc2cc(ccc2c1)N, naphthalen-2-amine,-7.47,0.6,-8.0,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14c40>,Nc1ccc2ccccc2c1
199,mobley_3265457, COc1cc(c(c(c1O)OC)Cl)C=O, 2-chlorosyringaldehyde,-7.78,0.77,-8.29,0.06, SAMPL4_Guthrie, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14ca0>,COc1cc(C=O)c(Cl)c(OC)c1O
200,mobley_3266352, CN(CC(F)(F)F)c1ccccc1," N-methyl-N-(2,2,2-trifluoroethyl)aniline",-1.92,0.6,-3.96,0.03, 10.1139v93-262, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14d00>,CN(CC(F)(F)F)c1ccccc1
201,mobley_3269565, CC(C)OC, 2-methoxypropane,-2.01,0.6,-0.66,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14d60>,COC(C)C
202,mobley_3269819, c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl," 1,2,3,4-tetrachloro-5-(3,4,5-trichlorophenyl)benzene",-3.17,0.1,-0.82,0.04, 10.1007s10822-012-9568-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14dc0>,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc(Cl)c1Cl
203,mobley_3274817, CC[C@@H](C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-]," 2-[(1R)-1-methylpropyl]-4,6-dinitro-phenolate",-6.23,1.93,-5.38,0.04, 10.1021jp806724u, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from dinoseb to 2-[(1R)-1-methylpropyl]-4,6-dinitro-phenolate for better handlingstandardization.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14e20>,CC[C@@H](C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
204,mobley_3318135, CCCCC(=O)CCCC, nonan-5-one,-2.64,0.6,-2.36,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14e80>,CCCCC(=O)CCCC
205,mobley_3323117, C1CC[S+2](C1)([O-])[O-], sulfolane,-8.61,0.31,-9.62,0.03, 10.1007s10822-010-9350-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14ee0>,[O-][S+2]1([O-])CCCC1
206,mobley_3325209, COC(c1ccccc1)(OC)OC, trimethoxymethylbenzene,-4.04,0.6,-5.56,0.04, 10.1139v80-201, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14f40>,COC(OC)(OC)c1ccccc1
207,mobley_3359593, CCCc1ccc(c(c1)OC)O, 4-propylguaiacol,-5.26,0.18,-4.13,0.05, SAMPL4_Guthrie, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d14fa0>,CCCc1ccc(O)c(OC)c1
208,mobley_3370989, CC(F)F," 1,1-difluoroethane",-0.11,0.6,0.23,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e040>,CC(F)F
209,mobley_337666, c1c(c(=O)[nH]c(=O)[nH]1)F, 5-fluorouracil,-16.92,0.88,-16.37,0.03, 10.1007s10822-010-9350-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from 5-flurouracil to 5-fluorouracil for better handlingstandardization.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e0a0>,O=c1[nH]cc(F)c(=O)[nH]1
210,mobley_3378420, CCCCCCCCCO, nonan-1-ol,-3.88,0.6,-2.56,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e100>,CCCCCCCCCO
211,mobley_3395921, C1CCOCC1, tetrahydropyran,-3.12,0.6,-1.81,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e160>,C1CCOCC1
212,mobley_3398536, c1ccc(cc1)I, iodobenzene,-1.74,0.6,-1.06,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e1c0>,Ic1ccccc1
213,mobley_3414356, CCCC(C)(C)O, 2-methylpentan-2-ol,-3.92,0.6,-2.78,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e220>,CCCC(C)(C)O
214,mobley_3425174, C(F)Cl, chloro-fluoro-methane,-0.77,0.6,-0.17,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e280>,FCCl
215,mobley_3452749, Cc1cccc(c1C)C," 1,2,3-trimethylbenzene",-1.21,0.6,-0.88,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e2e0>,Cc1cccc(C)c1C
216,mobley_349850, Cc1ccc(cc1)C(=O)C, 1-(p-tolyl)ethanone,-4.7,0.6,-4.91,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e340>,CC(=O)c1ccc(C)cc1
217,mobley_3515580, COc1ccccc1O, 2-methoxyphenol,-5.94,0.1,-4.75,0.04, SAMPL4_Guthrie, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e3a0>,COc1ccccc1O
218,mobley_352111, CC(=O)OCCOC(=O)C, 2-acetoxyethyl acetate,-6.34,0.6,-8.29,0.04, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e400>,CC(=O)OCCOC(C)=O
219,mobley_3525176, CCCCCc1ccccc1, pentylbenzene,-0.23,0.6,-0.09,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e460>,CCCCCc1ccccc1
220,mobley_3546460, CCCCCCO, hexan-1-ol,-4.4,0.6,-3.0,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e4c0>,CCCCCCO
221,mobley_3572203, CCCCCOC(=O)CC, pentyl propanoate,-2.11,0.6,-2.18,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e520>,CCCCCOC(=O)CC
222,mobley_3573480, CCCCCC(=O)C, heptan-2-one,-3.04,0.6,-2.94,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e580>,CCCCCC(C)=O
223,mobley_3589456, COC(CCl)(OC)OC," 2-chloro-1,1,1-trimethoxy-ethane",-4.59,0.6,-3.64,0.03, 10.1139v80-201, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e5e0>,COC(CCl)(OC)OC
224,mobley_36119, CCCCCCCCO, octan-1-ol,-4.09,0.6,-2.69,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e640>,CCCCCCCCO
225,mobley_3639400, CCCCCl, 1-chlorobutane,-0.16,0.6,0.99,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e6a0>,CCCCCl
226,mobley_3663158, c1ccc2cc(ccc2c1)O, naphthalen-2-ol,-8.11,0.6,-7.85,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e700>,Oc1ccc2ccccc2c1
227,mobley_3682850, C1CCC(=O)CC1, cyclohexanone,-4.91,0.6,-4.18,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e760>,O=C1CCCCC1
228,mobley_3686115, CCOC(C)OCC," 1,1-diethoxyethane",-3.28,0.2,-1.79,0.04, 10.1021jm070549+, 10.1021acs.jced.7b00104," Topology and coordinate files re-generated 10913 from original .mol2 files.  Experimental uncertainty not presently available, so assigned a default value.  Experimental uncertainty estimate updated to 0.2 as of v0.2 to match uncertainty estimate given in Nicholls et al. paper.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e7c0>,CCOC(C)OCC
229,mobley_3690931, CCCC(=O)OCCC, propyl butanoate,-2.28,0.6,-2.75,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e820>,CCCOC(=O)CCC
230,mobley_3709920, CCCCCCCC=C, non-1-ene,2.06,0.6,3.0,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e880>,C=CCCCCCCC
231,mobley_3715043, Cc1ccc(c2c1cccc2)C," 1,4-dimethylnaphthalene",-2.82,0.6,-3.08,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e8e0>,Cc1ccc(C)c2ccccc12
232,mobley_3727287, C1=CC(=O)C=CC1=O, quinone,-6.5,0.2,-6.96,0.03, 10.1039P29900000291, 10.1021acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039P29900000291 -- 0.2 kcalmol.  ,<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e940>,O=C1C=CC(=O)C=C1
233,mobley_3738859, CCCCCBr, 1-bromo-pentane,-0.1,0.2,0.82,0.03, 10.1039P29900000291, 10.1021acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039P29900000291 -- 0.2 kcalmol.  ,<rdkit.Chem.rdchem.Mol object at 0x2b7646d1e9a0>,CCCCCBr
234,mobley_3746675, CC(=C)c1ccccc1, isopropenylbenzene,-1.24,0.6,-0.65,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1ea00>,C=C(C)c1ccccc1
235,mobley_3761215, CC(Cl)(Cl)Cl," 1,1,1-trichloroethane",-0.19,0.6,0.51,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1ea60>,CC(Cl)(Cl)Cl
236,mobley_3762186, C(Cl)Cl, dichloromethane,-1.31,0.6,0.04,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1eac0>,ClCCl
237,mobley_3775790, Cn1cccc1, 1-methylpyrrole,-2.89,0.6,-2.37,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1eb20>,Cn1cccc1
238,mobley_3777264, c1cc(cc(c1)[N+](=O)[O-])N, 3-nitroaniline,-8.84,0.6,-8.2,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1eb80>,Nc1cccc([N+](=O)[O-])c1
239,mobley_3802803, CCCCCCO[N+](=O)[O-], hexyl nitrate,-1.66,0.1,-1.6,0.02, SAMPL4_Guthrie, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1ebe0>,CCCCCCO[N+](=O)[O-]
240,mobley_3843583, c1ccc2c(c1)cccc2N, naphthalen-1-amine,-7.28,0.6,-7.78,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1ec40>,Nc1cccc2ccccc12
241,mobley_3867265, CC(=O)C, acetone,-3.8,0.6,-3.51,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1eca0>,CC(C)=O
242,mobley_3968043, C1CCC(=O)C1, cyclopentanone,-4.7,0.6,-3.89,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d1ed00>,O=C1CCCC1
